,startid,endid
1333,339,3494
1334,339,3491
1335,3632,3490
1336,3632,3495
1337,3632,3551
1338,3632,3494
1339,3632,3491
1340,445,3490
1341,445,3495
1342,445,3551
1343,445,3494
1344,445,3491
1345,266,3490
1346,266,3495
1347,266,3551
1348,266,3494
1349,266,3491
1378,394,3041
1383,339,3041
1388,3632,3041
1393,445,3041
1398,266,3041
1425,394,432
1426,394,317
1430,339,432
1431,339,317
1435,3632,432
1436,3632,317
1440,445,432
1441,445,317
1445,266,432
1446,266,317
1450,394,3083
1451,394,3086
1452,394,3430
1453,394,3081
1454,394,3094
1455,339,3083
1456,339,3086
1457,339,3430
1458,339,3081
1459,339,3094
1460,3632,3083
1461,3632,3086
1462,3632,3430
1463,3632,3081
1464,3632,3094
1465,445,3083
1466,445,3086
1467,445,3430
1468,445,3081
1469,445,3094
1470,266,3083
1471,266,3086
1472,266,3430
1473,266,3081
1474,266,3094
1477,394,3572
1478,394,3123
1479,394,3221
1482,339,3572
1483,339,3123
1484,339,3221
1487,3632,3572
1488,3632,3123
1489,3632,3221
1492,445,3572
1493,445,3123
1494,445,3221
1497,266,3572
1498,266,3123
1499,266,3221
1501,394,360
1502,394,415
1504,394,260
1506,339,360
1507,339,415
1509,339,260
1511,3632,360
1512,3632,415
1514,3632,260
1516,445,360
1517,445,415
1519,445,260
1521,266,360
1522,266,415
1524,266,260
1552,394,3596
1554,394,3661
1557,339,3596
1559,339,3661
1562,3632,3596
1564,3632,3661
1567,445,3596
1569,445,3661
1572,266,3596
1574,266,3661
1575,394,402
1576,394,503
1577,394,435
