taxi_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
204,203578,15,202910.0,35.0,250010.0,45.0,203002.0,101.0,203579.0,134.0
205,503913,269,503676.0,273.0,500503.0,281.0,500459.0,285.0,503759.0,288.0
206,200758,32,200785.0,49.0,200786.0,106.0,202608.0,160.0,200042.0,196.0
208,103161,107,103698.0,115.0,103989.0,307.0,103690.0,451.0,103459.0,461.0
211,400916,133,400915.0,226.0,401379.0,236.0,803160.0,237.0,403847.0,244.0
214,203430,106,203433.0,124.0,202733.0,167.0,200119.0,168.0,203429.0,188.0
219,500244,148,503779.0,157.0,500243.0,215.0,500245.0,264.0,500159.0,268.0
220,100066,99,100482.0,107.0,102995.0,120.0,100065.0,154.0,100621.0,202.0
221,202788,38,201083.0,68.0,200184.0,125.0,202981.0,137.0,200147.0,164.0
222,304085,410,307107.0,419.0,307539.0,427.0,306452.0,451.0,304084.0,515.0
224,401182,193,401183.0,199.0,401195.0,201.0,401194.0,207.0,803193.0,216.0
225,307682,55,304206.0,67.0,304205.0,189.0,307681.0,189.0,304207.0,217.0
226,503331,57,503299.0,81.0,904147.0,102.0,503330.0,126.0,504221.0,178.0
228,306580,130,306579.0,144.0,306584.0,167.0,305443.0,176.0,305357.0,187.0
229,402218,9,402217.0,63.0,404266.0,103.0,402222.0,139.0,401704.0,151.0
230,400953,27,404035.0,173.0,403797.0,177.0,405297.0,210.0,403760.0,216.0
231,402080,109,803147.0,111.0,405065.0,129.0,803107.0,167.0,405056.0,175.0
232,405165,78,404287.0,125.0,403475.0,212.0,402093.0,213.0,401206.0,216.0
234,401579,92,403893.0,106.0,404197.0,126.0,404993.0,135.0,404120.0,145.0
236,400038,61,400037.0,157.0,400116.0,158.0,400117.0,176.0,400039.0,177.0
239,401929,92,401026.0,98.0,401897.0,103.0,401027.0,110.0,403108.0,145.0
242,101421,148,101441.0,160.0,101440.0,288.0,101422.0,317.0,101420.0,319.0
244,400459,61,400258.0,78.0,404066.0,81.0,400812.0,92.0,400418.0,108.0
245,201505,279,201506.0,289.0,201549.0,290.0,201550.0,344.0,203753.0,412.0
