bike_id,bus1,time1,bus2,time2,bus3,time3,bus4,time4,bus5,time5
3628,404341,22,401988,97,404274,108,404978,121,401047,151
3629,404283,30,400283,88,402658,94,400233,96,402508,113
3630,404915,41,405247,56,401079,94,401044,96,401268,112
3632,401195,144,401182,156,401548,156,401553,156,401589,165
3635,401500,73,403528,151,401501,181,401818,181,405026,223
3641,400327,79,405231,150,402130,180,400329,193,400326,261
3649,403942,21,401446,116,903089,123,401459,141,401445,174
3656,401613,40,403320,45,401656,91,402068,101,402032,117
3658,401507,36,401506,95,450222,151,405265,238,404161,261
3659,401507,38,401506,153,405265,184,405151,219,450222,220
3660,401224,93,401223,120,401575,177,403897,181,405298,229
3664,403444,132,404863,199,404864,219,401380,242,405065,332
3671,401755,49,401883,161,401875,179,401756,180,401754,182
3675,401942,73,401957,84,403777,107,403765,115,401749,160
3680,405179,80,403465,98,403257,107,400561,121,403805,146
3684,401608,66,903063,67,903184,75,401609,115,401388,132
3686,401387,77,401386,92,405133,136,405420,136,404286,163
3687,404950,105,403359,137,403480,142,401694,150,401774,189
3688,403887,69,401765,108,402223,182,402216,184,402221,207
3689,401035,41,401034,112,403116,155,401036,163,403153,165
